YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
2003,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,693,Overall,Age 25 and Older,<12th Grade
1995-1996   ,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1830,Overall,Age 20 and Older,>12th Grade
2014-2015,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,121865,Overall,All Ages,All Grades
1998-1999   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,908,Male,All Ages,All Grades
2001-2002,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,85135,Overall,All Ages,All Grades
2014-2015,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,17849,Overall,All Ages,All Grades
2006-2007   ,OR,Oregon,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,187,Male,All Ages,All Grades
2010-2011,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,232,Female,All Ages,All Grades
2014-2015,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,273,Female,All Ages,All Grades
1995-1996   ,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1442,Female,All Ages,All Grades
2001-2002,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,81060,Overall,All Ages,All Grades
2014-2015,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,506,Overall,All Ages,All Grades
2006-2007,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,72541,Overall,All Ages,All Grades
2001-2002,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,22062,Overall,All Ages,All Grades
2010-2011,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,120685,Overall,All Ages,All Grades
1998-1999   ,NJ,New Jersey,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3517,Female,All Ages,All Grades
2010-2011,AR,Arkansas,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1317,Female,All Ages,All Grades
2014-2015,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,69059,Overall,All Ages,All Grades
2001-2002   ,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,482,Overall,65 Years and Older,All Grades
1995-1996   ,OR,Oregon,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,2801,Overall,All Ages,All Grades
2003,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,77666,Overall,All Ages,All Grades
2010-2011,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,62956,Overall,All Ages,All Grades
1995-1996   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,403,Overall,65 Years and Older,All Grades
2014-2015,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,57774,Overall,All Ages,All Grades
2014-2015,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Current,1445,Male,All Ages,All Grades
2010-2011,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,21217,Overall,All Ages,All Grades
2003,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1634,Female,All Ages,All Grades
1995-1996   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,1988,Female,All Ages,All Grades
2006-2007,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,123647,Overall,All Ages,All Grades
2010-2011,OH,Ohio,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2894,Male,All Ages,All Grades
2006-2007,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,70031,Overall,All Ages,All Grades
1998-1999   ,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1149,Male,All Ages,All Grades
2006-2007,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1577,Overall,All Ages,All Grades
2014-2015,MI,Michigan,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Former,2432,Male,All Ages,All Grades
2006-2007,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,17425,Overall,All Ages,All Grades
2003,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,126638,Overall,All Ages,All Grades
2010-2011,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,74139,Overall,All Ages,All Grades
2010-2011,OH,Ohio,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,393,Male,All Ages,All Grades
2014-2015,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,798,Female,18 to 44 Years,All Grades
1998-1999   ,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,3136,Overall,45 to 64 Years,All Grades
2003,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,74343,Overall,All Ages,All Grades
2003,TX,Texas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,756,Female,All Ages,All Grades
2001-2002,US,National (States and DC),Smokefree Rules/Policies – Survey Data,Smokefree Rules in Homes (Adults),Smokefree Rules in Homes,TUS-CPS,,125793,Overall,All Ages,All Grades
2010-2011,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1725,Male,All Ages,All Grades
1998-1999   ,KS,Kansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,3005,Overall,All Ages,All Grades
1992-1993   ,OR,Oregon,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,881,Female,18 to 44 Years,All Grades
1995-1996   ,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,665,Overall,Age 25 and Older,12th Grade
2003,US,National (States and DC),Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,19157,Overall,All Ages,All Grades
2006-2007   ,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,944,Overall,All Ages,All Grades
1998-1999   ,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,332,Overall,Age 20 and Older,<12th Grade
1995-1996   ,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1512,Male,All Ages,All Grades
2001-2002   ,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,405,Male,All Ages,All Grades
1992-1993   ,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,403,Male,All Ages,All Grades
2010-2011,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,383,Female,All Ages,All Grades
1998-1999   ,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,846,Female,18 to 44 Years,All Grades
2001-2002   ,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,2663,Overall,All Ages,All Grades
1992-1993   ,AR,Arkansas,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,2015,Female,All Ages,All Grades
1995-1996   ,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1504,Overall,Age 20 and Older,12th Grade
2003,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,861,Overall,All Ages,All Grades
1995-1996   ,MT,Montana,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,573,Overall,All Ages,All Grades
2001-2002,WA,Washington,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,808,Female,All Ages,All Grades
1992-1993   ,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,572,Overall,All Ages,All Grades
1995-1996   ,WA,Washington,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,269,Female,All Ages,All Grades
2003,WV,West Virginia,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1959,Female,All Ages,All Grades
1992-1993   ,CO,Colorado,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1501,Male,All Ages,All Grades
2010-2011,LA,Louisiana,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,2248,Overall,All Ages,All Grades
2001-2002   ,CA,California,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,7470,Male,All Ages,All Grades
2003,NV,Nevada,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,740,Overall,65 Years and Older,All Grades
1998-1999   ,PA,Pennsylvania,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,9975,Overall,All Ages,All Grades
1998-1999   ,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1636,Female,All Ages,All Grades
1998-1999   ,NV,Nevada,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1461,Male,All Ages,All Grades
2006-2007   ,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,409,Overall,18 to 24 Years,All Grades
2006-2007   ,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,412,Overall,All Ages,All Grades
2006-2007,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1266,Male,All Ages,All Grades
2003,NY,New York,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,7886,Overall,All Ages,All Grades
2003,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,837,Overall,Age 20 and Older,<12th Grade
1998-1999   ,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
2014-2015,TN,Tennessee,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,2122,Female,All Ages,All Grades
2006-2007   ,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,564,Overall,18 to 24 Years,All Grades
2006-2007   ,IL,Illinois,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,3502,Female,All Ages,All Grades
2010-2011,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,424,Overall,All Ages,All Grades
2003,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,206,Male,All Ages,All Grades
2010-2011,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1975,Female,All Ages,All Grades
1995-1996   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,428,Overall,Age 25 and Older,<12th Grade
2003,OK,Oklahoma,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1506,Male,All Ages,All Grades
1992-1993   ,AZ,Arizona,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,2774,Overall,All Ages,All Grades
1992-1993   ,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,793,Female,18 to 44 Years,All Grades
2014-2015,MA,Massachusetts,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,4011,Overall,All Ages,All Grades
2014-2015,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,749,Overall,Age 20 and Older,12th Grade
1992-1993,AR,Arkansas,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,799,Female,All Ages,All Grades
2006-2007   ,LA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1140,Female,All Ages,All Grades
2014-2015,IL,Illinois,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,1162,Female,All Ages,All Grades
1998-1999   ,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,795,Female,18 to 44 Years,All Grades
2006-2007   ,UT,Utah,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1417,Female,All Ages,All Grades
1995-1996   ,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,2157,Female,All Ages,All Grades
2014-2015,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1643,Male,All Ages,All Grades
2014-2015,KY,Kentucky,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1557,Male,All Ages,All Grades
1998-1999   ,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
1992-1993   ,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,739,Overall,All Ages,All Grades
1998-1999   ,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,2824,Overall,All Ages,All Grades
1992-1993,GA,Georgia,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,1102,Overall,All Ages,All Grades
1992-1993   ,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,446,Overall,All Ages,All Grades
2010-2011,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,573,Overall,65 Years and Older,All Grades
1992-1993   ,NE,Nebraska,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,2144,Female,All Ages,All Grades
2006-2007,NV,Nevada,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1827,Male,All Ages,All Grades
2014-2015,UT,Utah,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,379,Overall,18 to 24 Years,All Grades
2001-2002   ,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,4941,Overall,All Ages,All Grades
2003,NV,Nevada,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,3168,Overall,All Ages,All Grades
2003,VT,Vermont,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1705,Male,All Ages,All Grades
2010-2011,FL,Florida,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,4015,Male,All Ages,All Grades
2006-2007,UT,Utah,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,437,Male,All Ages,All Grades
2003,MO,Missouri,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,1943,Female,All Ages,All Grades
2010-2011,RI,Rhode Island,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3755,Overall,All Ages,All Grades
1992-1993   ,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,273,Female,All Ages,All Grades
1998-1999   ,NY,New York,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,72,Overall,All Ages,All Grades
2003,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1198,Overall,Age 25 and Older,12th Grade
2003,KY,Kentucky,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1706,Female,All Ages,All Grades
1995-1996   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,399,Female,All Ages,All Grades
1995-1996,ME,Maine,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,227,Male,All Ages,All Grades
2001-2002   ,TN,Tennessee,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,218,Male,All Ages,All Grades
2010-2011,WI,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,2397,Female,All Ages,All Grades
2014-2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2869,Overall,All Ages,All Grades
1995-1996   ,GA,Georgia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1786,Male,All Ages,All Grades
2010-2011,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,123,Male,All Ages,All Grades
1995-1996   ,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,,Overall,All Ages,All Grades
2006-2007,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,1500,Female,All Ages,All Grades
2001-2002   ,OR,Oregon,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,739,Overall,All Ages,All Grades
2003,WA,Washington,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,2176,Female,All Ages,All Grades
1992-1993   ,FL,Florida,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,6644,Female,All Ages,All Grades
2003,NV,Nevada,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,222,Overall,All Ages,All Grades
2006-2007,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,2151,Male,All Ages,All Grades
1998-1999   ,TX,Texas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2708,Overall,Age 25 and Older,12th Grade
2006-2007   ,RI,Rhode Island,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,2058,Female,All Ages,All Grades
2006-2007   ,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,155,Male,All Ages,All Grades
2010-2011,CT,Connecticut,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,2341,Male,All Ages,All Grades
2010-2011,IL,Illinois,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,6639,Overall,All Ages,All Grades
1995-1996   ,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,2357,Overall,All Ages,All Grades
2001-2002   ,AL,Alabama,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1620,Male,All Ages,All Grades
2014-2015,NY,New York,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,8864,Overall,All Ages,All Grades
2001-2002   ,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,637,Overall,All Ages,All Grades
1995-1996   ,NM,New Mexico,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1722,Female,All Ages,All Grades
1998-1999   ,NV,Nevada,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,344,Female,All Ages,All Grades
1998-1999,GA,Georgia,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,574,Female,All Ages,All Grades
1992-1993   ,ND,North Dakota,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,2047,Female,All Ages,All Grades
2014-2015,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Former,1445,Male,All Ages,All Grades
2014-2015,FL,Florida,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),Smoking Status,TUS-CPS,Current,4213,Male,All Ages,All Grades
1992-1993   ,NV,Nevada,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,3011,Overall,All Ages,All Grades
2006-2007   ,HI,Hawaii,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,1878,Female,All Ages,All Grades
1998-1999   ,NV,Nevada,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,323,Overall,18 to 24 Years,All Grades
2006-2007   ,TN,Tennessee,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,3103,Overall,All Ages,All Grades
2014-2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1584,Overall,45 to 64 Years,All Grades
2010-2011,KY,Kentucky,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,3560,Overall,All Ages,All Grades
2003,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,1642,Female,All Ages,All Grades
1995-1996   ,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,377,Male,All Ages,All Grades
2001-2002   ,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,445,Overall,All Ages,All Grades
2003,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,532,Male,All Ages,All Grades
2001-2002,NY,New York,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1879,Female,All Ages,All Grades
1992-1993,MO,Missouri,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,297,Male,All Ages,All Grades
2001-2002   ,ID,Idaho,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1583,Female,All Ages,All Grades
2014-2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,310,Female,All Ages,All Grades
2001-2002   ,OR,Oregon,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1870,Male,All Ages,All Grades
2010-2011,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2963,Overall,All Ages,All Grades
2010-2011,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1759,Overall,Age 25 and Older,12th Grade
1998-1999   ,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,7861,Overall,All Ages,All Grades
1998-1999,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,416,Overall,All Ages,All Grades
2014-2015,LA,Louisiana,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2385,Female,All Ages,All Grades
2010-2011,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,738,Female,18 to 44 Years,All Grades
2001-2002   ,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,633,Female,18 to 44 Years,All Grades
2001-2002   ,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,1099,Overall,All Ages,All Grades
2010-2011,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,651,Female,18 to 44 Years,All Grades
1998-1999   ,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,414,Male,All Ages,All Grades
2014-2015,IN,Indiana,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1892,Female,All Ages,All Grades
