YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Sample_Size,Gender,Age,Education
2003,VA,Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Never,3639,Overall,All Ages,All Grades
1998-1999   ,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,680,Overall,All Ages,All Grades
2014-2015,VA,Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,>25 Cigarettes,346,Overall,All Ages,All Grades
1998-1999   ,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,606,Female,18 to 44 Years,All Grades
1998-1999,MN,Minnesota,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,222,Female,All Ages,All Grades
1998-1999   ,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Former,3391,Overall,All Ages,All Grades
1992-1993   ,RI,Rhode Island,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1334,Female,All Ages,All Grades
1998-1999   ,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1318,Overall,Age 20 and Older,<12th Grade
2010-2011,MD,Maryland,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2788,Female,All Ages,All Grades
1998-1999   ,VT,Vermont,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,169,Male,All Ages,All Grades
2010-2011,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,2076,Overall,Age 20 and Older,>12th Grade
2001-2002   ,RI,Rhode Island,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,1948,Male,All Ages,All Grades
2003,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,323,Overall,Age 20 and Older,<12th Grade
2010-2011,VA,Virginia,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,1578,Overall,All Ages,All Grades
2001-2002   ,NH,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,4136,Overall,All Ages,All Grades
1995-1996   ,MO,Missouri,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,2888,Overall,All Ages,All Grades
1995-1996   ,IA,Iowa,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,1456,Male,All Ages,All Grades
2010-2011,AL,Alabama,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,141,Male,All Ages,All Grades
2006-2007   ,CT,Connecticut,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Never,2392,Female,All Ages,All Grades
2010-2011,RI,Rhode Island,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,789,Overall,65 Years and Older,All Grades
2006-2007   ,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,2747,Overall,All Ages,All Grades
2006-2007   ,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,859,Female,All Ages,All Grades
2010-2011,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1503,Overall,All Ages,All Grades
2014-2015,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,,Overall,All Ages,All Grades
1995-1996   ,IN,Indiana,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Some Days,889,Overall,All Ages,All Grades
1995-1996,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,128,Male,All Ages,All Grades
1998-1999   ,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,352,Male,All Ages,All Grades
2006-2007   ,IA,Iowa,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,645,Overall,All Ages,All Grades
1995-1996   ,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,418,Overall,18 to 24 Years,All Grades
2010-2011,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,141,Overall,All Ages,All Grades
1992-1993   ,WV,West Virginia,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1996,Female,All Ages,All Grades
2006-2007   ,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Average,TUS-CPS,,132,Male,All Ages,All Grades
2010-2011,AZ,Arizona,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1473,Female,All Ages,All Grades
2014-2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,,Male,All Ages,All Grades
2003,AL,Alabama,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Former,1864,Female,All Ages,All Grades
2003,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,2304,Overall,All Ages,All Grades
2006-2007   ,CO,Colorado,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,4623,Overall,All Ages,All Grades
1992-1993   ,WA,Washington,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,1419,Male,All Ages,All Grades
2010-2011,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,<15 Cigarettes,284,Female,All Ages,All Grades
2010-2011,DE,Delaware,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Former,3488,Overall,All Ages,All Grades
2003,OK,Oklahoma,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Current,3184,Overall,All Ages,All Grades
2014-2015,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Never,1757,Female,All Ages,All Grades
2010-2011,NH,New Hampshire,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Current,4837,Overall,All Ages,All Grades
1995-1996   ,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Consumption (Adults),Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories,TUS-CPS,15 to 25 Cigarettes,388,Female,All Ages,All Grades
2006-2007   ,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,1545,Overall,Age 20 and Older,>12th Grade
1995-1996   ,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,TUS-CPS,,742,Overall,45 to 64 Years,All Grades
2014-2015,VT,Vermont,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,TUS-CPS,,1104,Overall,All Ages,All Grades
1995-1996,OK,Oklahoma,Smokefree Rules/Policies – Survey Data,Smokefree Policies in Indoor Worksites (Adults),Smokefree Policies in Indoor Worksites,TUS-CPS,,756,Female,All Ages,All Grades
1998-1999   ,IN,Indiana,Tobacco Use – Survey Data,Pipe Use (Adults),Smoking Status,TUS-CPS,Current,1702,Female,All Ages,All Grades
1995-1996   ,WY,Wyoming,Tobacco Use – Survey Data,Cigar Use (Adults),Smoking Status,TUS-CPS,Never,1500,Male,All Ages,All Grades
2010-2011,LA,Louisiana,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,TUS-CPS,,154,Female,All Ages,All Grades
2010-2011,NH,New Hampshire,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,379,Male,All Ages,All Grades
1998-1999   ,NY,New York,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,7299,Female,All Ages,All Grades
1998-1999   ,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,TUS-CPS,Current,2839,Overall,All Ages,All Grades
2003,NE,Nebraska,Tobacco Use – Survey Data,Smokeless Tobacco Use (Adults),User Status,TUS-CPS,Former,2046,Female,All Ages,All Grades
2006-2007   ,VA,Virginia,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,TUS-CPS,Every Day,385,Male,All Ages,All Grades
